0.0,25.3,0
25.3,28,1
28,30.3,0
30.3,33,1
33,41,0
41,42.7,1
42.7,48,0
48,52,1
52,54,0
54,55.7,1
55.7,62.5,0
62.5,70,1
70,73,0
73,76,2
76,77.5,0
77.5,81.2,2
81.2,84.5,0
84.5,87.5,2
87.5,89.3,0
89.3,91,2
91,100,0
100,104,2
104,114.5,0
114.5,122.2,2
122.2,129,0
129,129.8,2
129.8,131.2,0
131.2,134,2
135.5,137,0
137,140,3
140,141,0
141,150,3
150,160.5,0
160.5,167,3
167,170,0
170,173.9,3
173.9,176.5,0
176.5,180,3
180,188,0
188,192,1
192,198,0
198,204.5,1
206,212.5,0
212.5,216.2,1
216.2,219.5,0
219.5,220.5,1
220.5,240,0
